null|St Kabir Public School|P O Sidhwan Gurdas Pur Punjab|N/A|PB|147301|null|B R Maria|01872 209569|Principal|gpsmg77@hotmail.com|Asia/Kolkata|IN
null|St Mary'S School|Mahadiya Fategarh Sahib Punjab|N/A|PB|145001|null|Mr. Neeraj Mohan Puri|01763 223399|Principal|sandeepni@yahoo.com|Asia/Kolkata|IN
null|St Pauls Public School|St.Pauls Public School Ghulal P.O., Samrala, Ludhiana, Punjab-141124|N/A|PB|141124|null|James Masih|01628-645881 645731|Principal|stpaulsghulal@yahoo.com|Asia/Kolkata|IN
null|St Soldier Divine Public School|Garhshankar Distt Hoshiarpur Punjab|N/A|PB|140126|null|Mr. Sh. Sukhdev Singh|01884 284154|Principal|sukhdevsingh_1948@yahoo.in|Asia/Kolkata|IN
null|St Soldier Divine Public School|Dasuya Road Gurdhiwala Distt Hoshiarpur Punjab|N/A|PB|144207|null|Dr M R Bhatia|01886 261943|Principal|sadaralam@indiatimes.com|Asia/Kolkata|IN
null|St Soldier Divine Public School|Behind Rec(Nit) Po Rec Nit Jalandhar Punjab|N/A|PB|144011|null|Mr. Arwinder Kaur|5049646 5049646|Principal|ramesh_pb20@yahoo.co.in|Asia/Kolkata|IN
null|St. Joseph'S Convent Sec School|Civil Lines Bhatinda Punjab|N/A|PB|151001|null|Sister Miraiam|2511|Principal|josbat@glide.net.in|Asia/Kolkata|IN
null|St. Joseph'S Convent Sec School|Pathankot Punjab|N/A|PB|145001|null|Sr Lia|20189|Principal|stjoseph_ptk@sify.com|Asia/Kolkata|IN
null|St. Joseph'S School|Near Gaushala,Raikot Road|N/A|PB|141131|null|Joji Joseph|01679-243988 242988|Principal|st_joseph2009@rediffmail.com|Asia/Kolkata|IN
null|St. Kabir Academy|Dham Talwandi Khurd|N/A|PB|142025|null|Amandeep Kaur|01624245988|Principal|sgbfoundation@yahoo.co.in|Asia/Kolkata|IN
null|St. Kabir Convent School|Bhucho Khurd Distt Bathinda Punjab|N/A|PB|140401|null|Mr. Prof M.L.Arora|0164 2741376|Principal|stkabirconventschool@yahoo.co.in|Asia/Kolkata|IN
null|St. Mary School|Kalachak Road Sujanpur-Po Pathankot-Teh Gurdaspur- Dist Punjab-145023|N/A|PB|145023|null|Sasidharan Nair.P.S|01676 o1866533066|Principal|stmarysschoolsujanpur2007@gmail.com|Asia/Kolkata|IN
null|St. Mary'S School|Chaura Road, Sanaur, Patiala|N/A|PB|147103|null|James Joseph|01638 01752651644|Principal|stmarypta@rediffmail.com|Asia/Kolkata|IN
null|St. Peter'S Academy|New Ajit Nagar Patiala Punjab|N/A|PB|147001|null|Sr Lissy Lukose|0288 216819|Principal|stpeterac@yahoo.com|Asia/Kolkata|IN
null|St. Soldier Divine Pub School|Laroi Road Bhogpur Jalandhar Punjab|N/A|PB|144201|null|Sh Bhupinder Singh Atwal|0181 724282|Principal|gbngreenwood@gmail.com|Asia/Kolkata|IN
null|St. Soldier Divine Public School|Hadiabad (Phagwara) District Kapurthala Punjab|N/A|PB|144402|null|Sh Sanjeev Kumar|null|Principal|ssdpsph@yahoo.com|Asia/Kolkata|IN
null|St. Soldier Divine Public School|Una Road Hoshiarpur Punjab|N/A|PB|146001|null|Mr. Mrs Sushil Saini|01882 236973|Principal|ssdps@yahoo.in|Asia/Kolkata|IN
null|St. Soldier Divine Public School|St Soldier Divine Public School Guru Nanak Nagar, Near New Grain Market Tanda Distt.Hoshiarpur Pb.India|N/A|PB|144212|null|Munish Kumar Vaid|01886222680|Principal|munish_kumar_01@yahoo.com|Asia/Kolkata|IN
null|St. Soldier Divine Public School Langeri Road Mahilpur|St. Soldier Divine Public School Langeri Road Mahilpur Distt. Hoshiarpur(Punjab)|N/A|PB|146105|null|Gurpal Singh|01884-245729|Principal|stsoldierschool_mahilpur@yahoo.co.in|Asia/Kolkata|IN
null|St. Soldier Divine Public School Naya Nangal|P.O.Naya Nangal ,Teh|N/A|PB|N/A|null|Y.P.Kaushal|01887-22242|Principal|ssdps_nn@yahoo.in|Asia/Kolkata|IN
null|St. Soldier Int Convent School|Mohali Phase 7 Punjab|N/A|PB|160059|null|Mrs Vinender Tiwana|01763 678443|Principal|school@glide.net.in|Asia/Kolkata|IN
null|St. Stephin'S School|P.O. Teera, Tehsil-Kharar, Mohali, Distt-Ropar|N/A|PB|160101|null|Mr Ranjeet K S Chawla|0172 2664547|Principal|principal_hps@yahoo.com|Asia/Kolkata|IN
null|St. Thomas High School|Mission Road Pathankot Punjab|N/A|PB|145001|null|Mrs P. Peoples|0731 25134|Principal|emailtomegabyte@iname.com|Asia/Kolkata|IN
null|St. Thomas S S School|Brown Road Ludhiana Punjab|N/A|PB|141008|null|Mrs. H.Malaki|022 663431|Principal|sts1974@rediffmail.com|Asia/Kolkata|IN
null|St. Thomas School|Bakhopir Road, Bhawanigarh|N/A|PB|148126|null|Dr.Ajay Goyal|01672-326880|Principal|kuldeepbathinda@gmail.com|Asia/Kolkata|IN
null|St. Thomas School|P.O Suranussi Distt Jalandhar Punjab|N/A|PB|144027|null|Mrs Prabha S Kumar|91181 205694|Principal|sts2000@vsnl.jal.net.in|Asia/Kolkata|IN
null|St. Xavier School|Vil. Bhaddalthuha Nabha Road, Amloh|N/A|PB|147203|null|Missnirmala John (Sr. Nirmalet)|01765-231924|Principal|stxavieramloh2@yahoo.in|Asia/Kolkata|IN
null|St. Xavier'S School|Rampura Phul Distt. Bhatinda Punjab|N/A|PB|151103|null|Fr Bernard D'Sa|01275 222079|Principal|xaverites@glide.net.in|Asia/Kolkata|IN
null|St. Xavier'S School|Mansa Khurd, Distt. Mansa Punjab 151 505|N/A|PB|151505|null|Amaro Martins|01652-228645|Principal|jes802003@yahoo.co.in|Asia/Kolkata|IN
null|St. Xaviers International School|Village Attalan, Samana-Patran Road|N/A|PB|147102|null|Mr.Avijit Jana|07696568905|Principal|arnab.sarkar195@gmail.com|Asia/Kolkata|IN
null|St. Xaviers International School|St. Xaviers International School, Shanti Nagar, Tafazalpura|N/A|PB|147001|null|Mandeep Bajwa|0175-2224764|Principal|gurjot_khatter@yahoo.co.in|Asia/Kolkata|IN
null|St. Xaviers School|Model Town Phase Ii Bhatinda Punjab|N/A|PB|151001|null|Mr. Fr. Bernard John D''''Sa|0164 2211800|Principal|xavierbathinda1983@yahoo.com|Asia/Kolkata|IN
null|St.Gds Convent School|Priya Colony, Rahon Road, Ludhiana|N/A|PB|141007|null|Mrs.Manisha Talwar|01612691692|Principal|director_gds@yahoo.com|Asia/Kolkata|IN
null|St.Lawrence School|V.P.O-Kakrala. Teh- Samana,Distt- Patiala, Punjab|N/A|PB|147102|null|Umesh Kumar|01764-258200|Principal|st.lawkkr@gmail.com|Asia/Kolkata|IN
null|St.Manu'S Convent School|Moga Road Shahkot|N/A|PB|144702|null|Kiranjot Kaur|0128 01821-260230|Principal|stmanushahkot@yahoo.com|Asia/Kolkata|IN
null|St.Sai Sen.Sec.School|St. Sai Sen. Sec. School Green Field, Majitha Road.|N/A|PB|143001|null|Mrs. Renu Sharma|0183-2423171|Principal|vikrantsharma2008@gmail.com|Asia/Kolkata|IN
null|St.Soldier Divine Public School|Bathwala Road Greater Kailash Colony Near Govt. College Playground|N/A|PB|143521|null|Rakesh Chander Sharma|06152 01874503141|Principal|ssdpsgsp@yahoo.com|Asia/Kolkata|IN
null|St.Soldier Elite Convent School|Jyotisar Colony, Jandiala Guru.|N/A|PB|143115|null|Monika|01762 0183-6571920|Principal|stsoldierschool@yahoo.com|Asia/Kolkata|IN
null|State Public School|Parjian Road , Shahkot|N/A|PB|144702|null|Monica Bedi|01821-263011 9257263011|Principal|statepublicschool@yahoo.com|Asia/Kolkata|IN
null|State Public School|Sofi Pind Jalandhar Cantt|N/A|PB|144005|null|Jyoti Bhardwaj|0181-2631138 65701891 09888067864|Principal|statepublicschool@yahoo.com|Asia/Kolkata|IN
null|State Public School|Nakodar Jalandhar Punjab|N/A|PB|144040|null|Mrs Narang|01821 25425|Principal|statepublicschool@yahoo.com|Asia/Kolkata|IN
null|Sts World School|Vill. Rajgomal, P.O Rurka Kalan Teh. Phillaur Distt. Jalandhar Punjab|N/A|PB|144031|null|Mrs.Prabhjot Gill|01826-280280 280028|Principal|stsws@ymail.com|Asia/Kolkata|IN
null|Sudesh Vatika Convent School|Vpo Bhagiwander Teh Talwandi Sabo Distt Bhatinda Punjab|N/A|PB|151302|null|Mrs. Hardev Kaur Sidhu|098156 21788|Principal|sudeshvatika@yahoo.com|Asia/Kolkata|IN
null|Sukh Sagar International Public School|Village Saidowal Po-Safdarpur Via Dasuya Distt-Hoshiarpur Punjab 144205|N/A|PB|144205|null|Gagandeep Kaur Hundal|01638 01883-501701|Principal|sukhsagaripschool@yahoo.com.in|Asia/Kolkata|IN
null|Summer Fields School|V.P.O. Droli Bhai, Distt. Moga|N/A|PB|142001|null|Jaspal Kaur|01636234132|Principal|sfsmoga@gmail.com|Asia/Kolkata|IN
null|Summer Hill Convent School|Bhatinda Punjab|N/A|PB|151001|null|Ramesh Kumari|079 4613|Principal|bhavsudh@jla.vsnl.net.in|Asia/Kolkata|IN
null|Sun Valley International School|V.P.O Kathe, Chakkowal Main Road Sham Chaurasi|N/A|PB|144105|null|Mrs.Jaspal Kaur|01882326251|Principal|svisinstitute@yahoo.com|Asia/Kolkata|IN
null|Surya Convent School|Zira Road Dharamket Distt Moga Punjab|N/A|PB|144101|null|Mrs. Renu|01682 222424|Principal|gps.edu@rediffmail.com|Asia/Kolkata|IN
null|Sushila Devi Public School|Village Kheri Mandlan, Patiala Rajpura Road|N/A|PB|147001|null|Mrs.Rajni Sharma|01752663781-82|Principal|princisushiladevipublicschool@gmail.com|Asia/Kolkata|IN
null|Sutlej Public School|Kajla Road Banga Punjab|N/A|PB|144501|null|Sh Pal Singh|01823 60119|Principal|spsbanga@yahoo.com|Asia/Kolkata|IN
null|Sutlej Public Sr Sec School|Village Hawas Rahoon Road Ludhiana Punjab|N/A|PB|141007|null|Mrs Satwinder Kaur|0161 2690152|Principal|bbkdavcw@jla.vsnl.net.in|Asia/Kolkata|IN
null|Swami Chhagan Lal Lala Hansraj Jain|Public School Amloh Road, Khanna Distt Ludhiana Punjab|N/A|PB|141401|null|Mr. Meenakshi Puri|01628 220104|Principal|jainpublic_khanna@yahoo.co.in|Asia/Kolkata|IN
null|Swami Mohan Dass Model School|Baba Mohan Dass Nagar G T Road, Bye Pass Jullundhur Punjab|N/A|PB|144004|null|Mrs Marina Kumar|0181 2600633|Principal|info@bcmeducation.org|Asia/Kolkata|IN
null|Swami Sant Dass Public School|Phagwara Distt Kapurthala Punjab|N/A|PB|262405|null|Mrs. Anju Mehta|01824 223487|Principal|ssdpsphg@yahoo.co.in|Asia/Kolkata|IN
null|Swami Sant Dass Public School|Udasin Ashram J P Nagar Jalandhar Punjab|N/A|PB|144003|null|Mrs. H.B. Kaur|0181 2250127|Principal|ssdps_jal@rediffmail.com|Asia/Kolkata|IN
null|T.C. International School|Behrampur Road, Gurdaspur, 143521 Punjab|N/A|PB|143521|null|Manjula Sharma|01874329498|Principal|tcinternationalschool@gmail.com|Asia/Kolkata|IN
null|Tagore International School|Kohara Road Distt Sanehwal Punjab|N/A|PB|141120|null|Amrit Parkash Singh|0161 2846980|Principal|satyapalsharmajsr@yahoo.com|Asia/Kolkata|IN
null|Tagore Modern School|Near Kutba Gtae, Raikot Distt.(Ludhiana)|N/A|PB|141109|null|Sandeep Kumar|01624-264499|Principal|s_k_tangri@yahoo.co.in|Asia/Kolkata|IN
null|Tagore Public School|Aggar Nagar Ferozepur Road Ludhiana Punjab|N/A|PB|141001|null|Mr. Mrs Suman Arora|0161 2553558|Principal|tps_ludhiana@rediffmail.com|Asia/Kolkata|IN
null|Tagore'S International Smart School|Basti Danishmandan Jalandhar City Punjab|N/A|PB|144002|null|Mrs Sunita Bhatia|0181 3096022|Principal|holy_mary@sanchernet.in|Asia/Kolkata|IN
null|Takshila School|Dasuya Road, Vill. Khakli, P.O. Sadar, Distt. Hoshiarpur|N/A|PB|146001|null|Mr.C.B. Jadli|01882-277018|Principal|hoshiarpur@takshilaschools.in|Asia/Kolkata|IN
null|Tara Convent School|Tara Estate, Adampal Road|N/A|PB|148023|null|Gurinder Kaur|01625-255901|Principal|taraconvent@gmail.com|Asia/Kolkata|IN
null|The Gurukul|Inside Malko Gate Nr Tv Tower Punjab|N/A|PB|151108|null|Suman|0181 2274655|Principal|anandsagaracademy@rediffmail.com|Asia/Kolkata|IN
null|The Helix Oxford Smart School|Nial Bye Pass, Patran|N/A|PB|147105|null|Mrs.Amarjot Kaur|9878643326|Principal|helixoxfordsmartschool@gmail.com|Asia/Kolkata|IN
null|The Millennium School|Near Sports & Surgical Complex Kapurthala Road Jalandhar Punjab|N/A|PB|144402|null|Mrs P K Dhillon|0181 265177|Principal|gandhi.computer@yahoo.co.in|Asia/Kolkata|IN
null|The Millennium School , Amritsar|Sg Enclave , Ph-1 , Majitha Road , Amritsar|N/A|PB|143001|null|Shyamal Dey|01836533601|Principal|principal.amritsar@themillenniumschools.com|Asia/Kolkata|IN
null|The Millennium School, Mohali|The Millennium School, Plot No 3, Sector 67|N/A|PB|160062|null|Komal Singh|0172-6544021-25|Principal|komal18@usa.net|Asia/Kolkata|IN
null|The Oxford International School|Vpo Dhani Singhewala|N/A|PB|152113|null|Mr.Chander Prakash Makkar|01668295993|Principal|a.jhorar@gmail.com|Asia/Kolkata|IN
null|The Oxford School Of Education Bhagta Bhai Ka|Baja Khana Road,Bhagta Bhai Ka,(Punjab)|N/A|PB|151206|null|Praveen Sharma|01651-257303 257271|Principal|avtarpunjabi07@gmail.com|Asia/Kolkata|IN
null|The Pinewood International Sen. Sec. School|The Pinewood International Sen. Sec. School, Village Jethuwal, Batala Road, Amritsar.|N/A|PB|143001|null|Paramjit Kaur|0175 0183-2110659|Principal|tpisss_school@hotmail.com|Asia/Kolkata|IN
null|The Punjab Public School|Nangalkhurd, Sirsa Road, Mansa, Punjab|N/A|PB|151505|null|Dillip Kumar Mishra|01652214999|Principal|dillipmishra87@yahoo.com|Asia/Kolkata|IN
null|The Renaissance School|Main Road Bhanopli Tehsil Nangal Distt Ropar|N/A|PB|140133|null|Mr.Balvir Singh|01887263112|Principal|therenaissanceschool@hotmail.com|Asia/Kolkata|IN
null|The Royal World International School|Noorpur, Pathankot Road, Jalandhar City|N/A|PB|144004|null|Mrs.Anuradha Bhalla|0181-2610081|Principal|ghulatigaurav@yahoo.in|Asia/Kolkata|IN
null|The Senior Scholar'S School|Rajinder Nagar Pathankot Punjab|N/A|PB|145001|null|Mr. Manu Saini|0186 2234458|Principal|sr_scholars@yahoo.com|Asia/Kolkata|IN
null|The Senior Study -Ii|Putlighar G T Road Amritsar Punjab|N/A|PB|143001|null|Vijay Mehra|0|Principal|tss.in@indiatimes.com|Asia/Kolkata|IN
null|Trinity Public School|Mehar Chand Road, Gurdaspur|N/A|PB|143521|null|Mrs. Bhupinder Kaur|01874-244450|Principal|trinty87@yahoo.com|Asia/Kolkata|IN
null|Uspc Jain Public School|Samrala Road Jamalpur Ludhiana Punjab|N/A|PB|141010|null|Mr. Mr. Sandeep Kumar Lath|673144673145|Principal|upsc@sify.com|Asia/Kolkata|IN
null|Vaishnavi Public School|Vpo Gho|N/A|PB|145001|null|Mukta Oberoi|09217152545|Principal|vaishnavipublicschool@gmail.com|Asia/Kolkata|IN
null|Vajra Army School|Dholewal Army Complex|N/A|PB|141007|null|Vandana Tripathi|01612530092extn2017|Principal|vajraschool@yahoo.com|Asia/Kolkata|IN
null|Vardhman International Public School|Vardhman International Public School,Akme Township ,Vill Jandiali, Chandigarh Road. Ludhiana.|N/A|PB|141003|null|Dr.Anima Jain|09317052100|Principal|vips.ldh@gmail.com|Asia/Kolkata|IN
null|Vasant Valley Public School|Ladda Distt Sangrur Punjab|N/A|PB|148034|null|Mr. K.Gomathinayagam|01675 230170 71|Principal|vasant98@sify.com|Asia/Kolkata|IN
null|Vasishat Bharti International School|Vpo Datarpur, Tehsil Mukerian, Distt Hoshiarpur|N/A|PB|144222|null|Dinkar Prashar|01883-230753|Principal|kapishsharma@yahoo.com|Asia/Kolkata|IN
null|Victoria International Pub School|G T Road Phagwara Punjab|N/A|PB|144401|null|Mr. Mr B L Verma|01824 223821|Principal|vips13@sify.com|Asia/Kolkata|IN
null|Victoria International School|Near Talwandi Gram Mukerian Hoisharpur Punjab|N/A|PB|144211|null|Mr. G S Multani|01883 293581|Principal|vis_muk@yahoo.co.in|Asia/Kolkata|IN
null|Victoria Public School|Vill. Lehra, P.O. Lehra, Teh. Ludhiana, Dist. Ludhiana|N/A|PB|141118|null|Jagmit Singh|0186 9855726621|Principal|vpsahh@rediffmail.com|Asia/Kolkata|IN
null|Vishvas Public School|Vishvas Enclave Near Sar Hind Canal Behman Road Bathinda Punjab|N/A|PB|151001|null|Sh Rajesh Mittal|0164 2281487|Principal|cheema27@msn.com|Asia/Kolkata|IN
null|Vivek High School, Sector 70, Mohali|Vivek High School, Sector-70, Mohali|N/A|PB|160071|null|Mrs.Anuradha Dua|91-172-4621747|Principal|vivekhigh70@yahoo.com|Asia/Kolkata|IN
null|Vivek Public School|Village Heir, Heritage City, Airport Road, Amritsar|N/A|PB|143001|null|Meenakshi Mehra|0183-2554881|Principal|awm@sancharnet.in|Asia/Kolkata|IN
null|West Point School|Sandhwan,Danewala Road|N/A|PB|151204|null|Simran Nakai|01635-226172 9815944566|Principal|wp_school@hotmail.com|Asia/Kolkata|IN
null|Wheat Fields Public School|Wheat Fields Public School,Badal Road, V.P.O-Ghudda, District & Tehsil-Bhatinda|N/A|PB|151001|null|Mrs.Parveen Chadda|09417777347|Principal|wfpsghudda@gmail.com|Asia/Kolkata|IN
null|Wonderland Public School|Rang Mahal|N/A|PB|143521|null|Om Parkash Sharma|01874246957|Principal|wlps@live.com|Asia/Kolkata|IN
null|Wood Stock Public School|Anarkali Road, Gurdas Pur, Punjab|N/A|PB|226021|null|Jasbir Wadhwa|0522 01822325782|Principal|harkrishan_school@yahoo.com|Asia/Kolkata|IN
null|Woodlands Overseas School|Woodlands Overseas School, Vpo Sataur,Dasuya Road|N/A|PB|146001|null|Simerjeet Kaur|01882-277771|Principal|woschool@gmail.com|Asia/Kolkata|IN
null|Y S Public School|Bathinda Road Handiya Barnala Sangrur Punjab |N/A|PB|N/A|null|Mr. Mrs Kusum Lata|01679 284878|Principal|ys_schoolbnl@yahoo.co.in|Asia/Kolkata|IN
null|Y S School|Bus Stand Road Barnala Punjab|N/A|PB|148101|null|Mrs Shanta Kumar|01679 32628|Principal|ys_schoolbnl@yahoo.co.in|Asia/Kolkata|IN
null|Guru Gobind Singh Public School|Guru Gobind Singh Public School|N/A|PB|151202|null|Dimple Dhillon|01635-290250|Principal|singh_ranjit1234@yahoo.co.in|Asia/Kolkata|IN
null|Police Public School|Police Public School, Police Lines|N/A|PB|151505|null|Mr.Dr. P.K Sood|01652214900|Principal|ppsmns2010@gmail.com|Asia/Kolkata|IN
null|S.K Public School|Behind Power House|N/A|PB|142050|null|Kiranpreet Kaur|01632-292222|Principal|skschool2k@yahoo.in|Asia/Kolkata|IN
null|The British School|Sector 70|N/A|PB|160069|null|Reena|0181 01724653000 5096000|Principal|tbsmohali@thebritishschool.org|Asia/Kolkata|IN
null|Supreme Convent School|Supreme Convent School|N/A|PB|142039|null|Bipan Kumar Sharma|01636-258187|Principal|supremeconvent@yahoomail.com|Asia/Kolkata|IN
null|A N Public Secondary School|Radha Swami Bagh , Chomu|N/A|RJ|303702|null|Sanjida Yadav|01423-512358|Principal|anpublic_school@yahoo.com|Asia/Kolkata|IN
null|A V S Public School|Shri Parshwnath Teerth Kshetra, Bijoliyan, Distt Bhilwara|N/A|RJ|311602|null|Sumitra Sharma|01489-292203|Principal|avs.bijoliya@gmail.com|Asia/Kolkata|IN
null|A'S Saint Steward Morris School|B Sector, Pathik Nagar,Bhilwara (Raj)|N/A|RJ|311001|null|Manju Baldawa|07462 01482-257240 01482-513560|Principal|steward_morris@yahoo.co.in|Asia/Kolkata|IN
null|A.S.M. Public School|A.S.M. Public School C.C. Head Padampur Distt. Sri Ganganagar|N/A|RJ|335041|null|Beant Singh Pannu|01505-281428 281528|Principal|faqirchand2001@yahoo.co.in|Asia/Kolkata|IN
null|Aakanksha International School-The Gurukul|Mundwa Road, Nagaur|N/A|RJ|341001|null|Suryanarayan Parashar|01582-320321|Principal|aisthegurukul2007@rediffmail.com|Asia/Kolkata|IN
null|Adinath Public School|11, Gandhi Nagar , Scheme No-8|N/A|RJ|301001|null|V.L.Sapra|01392 0144-2702816|Principal|adinathpublicschool@rediffmail.com|Asia/Kolkata|IN
null|Aditya Birla Public School|Khariya Khangar Teh Bhopalgarh Distt. Jodhpur Rajasthan|N/A|RJ|342606|null|Mr. Sh Aashish Tiwari|02920 264424|Principal|abpsbw@adityabirla.com|Asia/Kolkata|IN
null|Adrash Vidya Mandir Mandawa, Jhunjhunu|Vill/Post- Mandawa|N/A|RJ|333704|null|Nanda Swami|01592-223650|Principal|adrashmandawa@yahoo.com|Asia/Kolkata|IN
null|Air Force School|Kanak Ghati Amer Road Jaipur Rajasthan|N/A|RJ|302002|null|Mr Prateek Saxena|0476 44130|Principal|vmps81@yahoo.com|Asia/Kolkata|IN
null|Air Force School|A F S Old Pali Road Jodhpur Rajasthan|N/A|RJ|342001|null|Mr. Dr. Prabha Sharma|0291 2670104|Principal|afschooljodhpur@yahoo.com|Asia/Kolkata|IN
null|Ajit Vidya Mandir|Shanti Nagar Sirohi Distt Sirohi Rajasthan|N/A|RJ|307001|null|Mr. Suresh Chandra Dave|02972 223211|Principal|ajitvidya@sify.com|Asia/Kolkata|IN
null|Akashdeep Public School|Sector 11 Agarwal Farm Mansarover Jaipur Rajasthan|N/A|RJ|302020|null|Mr. Mrs Rajni Dimbi|0141 2397692|Principal|akashdeepjpr@yahoo.com|Asia/Kolkata|IN
null|All Saints International School|Vill. Hasanpur, Near Gailpur, Tehsil Tijara|N/A|RJ|000000|null|Renu Uberoi|01493243888|Principal|all_saints_international_school@yahoo.co.in|Asia/Kolkata|IN
null|Alok Senior Secondary School|Hiran Magri Sector 11 Udaipur Rajasthan|N/A|RJ|313001|null|Shyam Lal Kumawat|83488|Principal|aruna_mehta@yahoo.co.in|Asia/Kolkata|IN
null|Alpha Beta School|Sector 16, Pratap Nagar, Sangana, Jaipur|N/A|RJ|303606|null|Mr C P Verma|0141 9878643326|Principal|helixoxfordsmartschool@gmail.com|Asia/Kolkata|IN
null|Alwar Public School|6Th K M Stone Rajgarh Road Alwar Rajasthan|N/A|RJ|301001|null|Ramesh Mathur|01276 88223|Principal|eicheraps@rediffmail.com|Asia/Kolkata|IN
null|Ambuja Public School|Ambuja Township Post Rabrivawas Teh Jaitaran Distt Pali Rajasthan|N/A|RJ|306709|null|Mrs. Ipsita Choudhury|02939 288032|Principal|ambujapublicschool@ymail.com|Asia/Kolkata|IN
null|American International School|Krishna Nagar, Muhana Road Opp V T Road New Sanganer Road Mansarover Jaipur Rajasthan|N/A|RJ|302020|null|Mr. Prateek Saxena|0141 6540994|Principal|aisjaipur@yahoo.co.in|Asia/Kolkata|IN
null|Amit Bolia Vidhya Niketan|Amit Bolia Marg, Sahada Choraya, Gangapur|N/A|RJ|311801|null|Mr.Joseph V.M.|01481-220101|Principal|amitbolia@ymail.com|Asia/Kolkata|IN
null|Angel Public School|Pwd Road|N/A|RJ|335523|null|Ms. Mamta Gakher|0294 222928|Principal|s.somani@mdsudaipur.org|Asia/Kolkata|IN
null|Ankur Shikshan Sansthan|Ratlam Road, Banswara, Rajasthan|N/A|RJ|327001|null|Beena Gupta|02962 243001|Principal|ankurshikshansanstha@gmail.com|Asia/Kolkata|IN
null|Apala School Of Education|1-Nhr-A Hisar Road Nohar|N/A|RJ|335523|null|Ram Singh|01555221340|Principal|apala.school@yahoo.com|Asia/Kolkata|IN
null|Apex Public School|5 Bhd, Nohar Sirsa Bypass|N/A|RJ|335501|null|Mr.Sukhdev Sharma|09828582298|Principal|apsbhadra2009@gmail.com|Asia/Kolkata|IN
null|Aravali Public School|Aravali Paublic School, Badiyal Khurd, Bandikui,(Raj.)|N/A|RJ|303313|null|Amrender Kumar Suman|01420-512681|Principal|aps_bandikui@rediffmail.com|Asia/Kolkata|IN
null|Arihant International School|Tijara Bye-Pass Road, Tijara|N/A|RJ|301411|null|Mr.Nivesh Jain|9783070700|Principal|arihant_school@yahoo.co.in|Asia/Kolkata|IN
null|Army School|Lalgarh Jatan C/O Hq 83 Inf Bde C/O 56 Apo|N/A|RJ|335803|null|Mrs Meenu Singh|01462 484975|Principal|armyschool_lgj@hotmail.com|Asia/Kolkata|IN
null|Army School|Bikaner Rajasthan|N/A|RJ|334001|null|Mrs Madanjit Kaur Gill|01679 2387|Principal|cyberden@del3.vsnl.net.in|Asia/Kolkata|IN
null|Army School|Jaipur Cantt C/O H.Q. 61 (I) Sub Area C/O 56 A.P.O Rajasthan|N/A|RJ|324008|null|Lt Col K K Mishra|0744 64081|Principal|sjs1973@stjohnsschoolkota.org|Asia/Kolkata|IN
null|Army School|Nasirabad Cantt 13 The Mall Dt.Ajmer Rajasthan|N/A|RJ|305601|null|Mr B Qoba|01491 20510|Principal|armyschoolnasirabad@yahoo.com|Asia/Kolkata|IN
null|Army School|Dadwara C/O Station Hq Kota Rajasthan|N/A|RJ|324002|null|V. Basra|0141 227|Principal|armyschoolkota@hotmail.com|Asia/Kolkata|IN
null|Army School|Sri Ganganagar Po Sadhuwali Rajasthan Rajasthan|N/A|RJ|335001|null|Mrs Yashika Bhardwaj|0154 424192|Principal|sps@stpaulsbeawar.com|Asia/Kolkata|IN
null|Army School|C/O 170 Inf.Bde. C/O 56 Apo Suratgarh ( Sri Ganga Nagar ) Rajasthan|N/A|RJ|152123|null|Mrs Brij B Raina|06562 01638-265477|Principal|armysog@rediffmail.com|Asia/Kolkata|IN
null|B R Birla Public School|Green Park Beyond 18 Sector Chopasani Housing Board Jodhpur Rajasthan|N/A|RJ|342008|null|Mrs Pushpendra Rathor|null|Principal|brbps@hotmail.com|Asia/Kolkata|IN
null|B R J D Public School|Bhorugram Nangal Kalan Churu Distt Rajasthan|N/A|RJ|331035|null|Mr. Dr. R.P.Singh|01559 284425|Principal|brjd@rediffmail.com|Asia/Kolkata|IN
null|B S F Sr Sec School|Sriganganagar Rajasthan|N/A|RJ|335701|null|Mr. Ravendra Singh|0154 2440375|Principal|bsfschoolsgnr@rediff.com|Asia/Kolkata|IN
null|B.P.S. Convent School, Laxmangarh|Bps Convent School, Manasiya Road, Laxmangarh, Sikar (Raj.)|N/A|RJ|332311|null|Mr.Pankaj Malik|01573686444|Principal|bpsconvent@gmail.com|Asia/Kolkata|IN
null|B.S. Memorial School|Choudhary Colony, Opp. Shani Kunj|N/A|RJ|307026|null|Pramod Choudhary|011 02974-221131|Principal|bsmsaburoad@gmail.com|Asia/Kolkata|IN
null|Bagaria Bal Vidya Niketan|Mukundgarh Road Laxmangarh|N/A|RJ|332311|null|Mr.Hari Ram Sharma|01573-222232|Principal|bagariaschool@gmail.com|Asia/Kolkata|IN
null|Bal Niketan Gandhi Seva Sadan|Rajsamand Distt Rajasthan|N/A|RJ|313326|null|Mr. Ramakant Prasad|02952 220425|Principal|principal_bngss@yahoo.co.in|Asia/Kolkata|IN
null|Bansal Public School|Ganesh Nagar|N/A|RJ|324005|null|Tajender Kaur Hora|05280 098290-36063|Principal|bansalpublicschool@gmail.com|Asia/Kolkata|IN
null|Beetle''''S International School|Near Heavens Garden, Sumel Road, Agra Road, Jaipur|N/A|RJ|302031|null|Mrs.Ragini Daga|01412171883 01412171884|Principal|beetlesagraroad@gmail.com|Asia/Kolkata|IN
